id,lat,long,name,freq
512,40.750072700000004,-73.998392789999997,W 29 St & 9 Ave,872
513,40.768253999999999,-73.988639000000006,W 56 St & 10 Ave,963
514,40.76087502,-74.002776679999997,12 Ave & W 40 St,565
515,40.760094369999997,-73.994618430000003,W 43 St & 10 Ave,1364
516,40.752068620000003,-73.96784384,E 47 St & 1 Ave,480
517,40.751492630000001,-73.977988479999993,Pershing Square S,1869
518,40.747803730000001,-73.973441900000012,E 39 St & 2 Ave,1648
519,40.751884060000002,-73.977701640000006,Pershing Square N,3634
520,40.759922619999998,-73.976485159999996,W 52 St & 5 Ave,920
521,40.75044999,-73.994810509999994,8 Ave & W 31 St,3295
522,40.757147580000002,-73.972078359999998,E 51 St & Lexington Ave,838
523,40.75466591,-73.991381520000004,W 38 St & 8 Ave,2159
524,40.755273070000001,-73.983169360000005,W 43 St & 6 Ave,1222
525,40.755941589999999,-74.002116299999997,W 34 St & 11 Ave,480
526,40.747659470000002,-73.984907070000006,E 33 St & 5 Ave,1264
527,40.743155659999999,-73.974347260000002,E 33 St & 1 Ave,1450
528,40.742909019999999,-73.97706058,2 Ave & E 31 St,1865
529,40.757569899999993,-73.990985069999994,W 42 St & 8 Ave,1467
531,40.718939040000002,-73.992662879999997,Forsyth St & Broome St,1251
532,40.710450999999999,-73.960875999999999,S 5 Pl & S 4 St,388
533,40.752996410000002,-73.987216189999998,Broadway & W 39 St,600
534,40.702550649999999,-74.012723399999999,Water - Whitehall Plaza,565
536,40.741443869999998,-73.975360820000006,1 Ave & E 30 St,1195
537,40.740258779999998,-73.984092140000001,Lexington Ave & E 24 St,1564
538,40.75795248,-73.977876420000001,W 49 St & 5 Ave,944
539,40.715348249999998,-73.960241159999995,Metropolitan Ave & Bedford Ave,406
540,40.741472860000002,-73.983209279999997,Lexington Ave & E 26 St,1732
261,40.69474881,-73.983624640000002,Johnson St & Gold St,327
474,40.745167700000003,-73.986830769999997,5 Ave & E 29 St,1406
546,40.744449209999999,-73.983035290000004,E 30 St & Park Ave S,1141
351,40.705309540000002,-74.00612572,Front St & Maiden Ln,515
2012,40.739445000000003,-73.97680600000001,E 27 St & 1 Ave,908
343,40.697940000000003,-73.969868480000002,Clinton Ave & Flushing Ave,158
72,40.767272159999997,-73.993928879999999,W 52 St & 11 Ave,924
2000,40.702550879999997,-73.98940236,Front St & Washington St,477
79,40.719115520000003,-74.006666609999996,Franklin St & W Broadway,617
82,40.711174159999999,-74.000165449999997,St James Pl & Pearl St,356
83,40.68382604,-73.976323280000003,Atlantic Ave & Fort Greene Pl,444
442,40.746646999999996,-73.993915000000001,W 27 St & 7 Ave,1797
481,40.712604859999999,-73.962644030000007,S 3 St & Bedford Ave,150
116,40.741776029999997,-74.001497459999996,W 17 St & 8 Ave,1919
119,40.696089409999999,-73.978034149999999,Park Ave & St Edwards St,92
120,40.686767930000002,-73.959281680000004,Lexington Ave & Classon Ave,152
127,40.731724280000002,-74.006744359999999,Barrow St & Hudson St,1435
128,40.72710258,-74.002970880000007,MacDougal St & Prince St,1619
243,40.687978999999999,-73.978474000000006,Fulton St & Rockwell Pl,520
137,40.761628000000002,-73.972924000000006,E 56 St & Madison Ave,856
279,40.699869370000002,-73.982719329999995,Sands St & Gold St,123
143,40.692395019999999,-73.993379090000005,Clinton St & Joralemon St,277
144,40.698398949999998,-73.980689139999996,Nassau St & Navy St,93
146,40.716250080000002,-74.009105899999994,Hudson St & Reade St,681
147,40.715421970000001,-74.011219780000005,Greenwich St & Warren St,1143
150,40.720873600000004,-73.980857950000001,E 2 St & Avenue C,762
151,40.721815800000002,-73.997203069999998,Cleveland Pl & Spring St,1984
152,40.71473993,-74.009106270000004,Warren St & Church St,562
153,40.752062306999996,-73.981632404300001,E 40 St & 5 Ave,1506
157,40.690892720000001,-73.996123490000002,Henry St & Atlantic Ave,477
160,40.748238000000001,-73.978311000000005,E 37 St & Lexington Ave,852
161,40.729170250000003,-73.998102309999993,LaGuardia Pl & W 3 St,1280
164,40.753230979999998,-73.970325169999995,E 47 St & 2 Ave,956
167,40.748900599999999,-73.976048820000003,E 39 St & 3 Ave,1391
168,40.739713010000003,-73.994564049999994,W 18 St & 6 Ave,1982
173,40.760646790000003,-73.984426589999998,Broadway & W 49 St,1082
174,40.738176500000002,-73.977386620000004,E 25 St & 1 Ave,951
195,40.709056230000002,-74.010433820000003,Liberty St & Broadway,1092
545,40.736502000000002,-73.978094720000001,E 23 St & 1 Ave,1548
468,40.765265399999997,-73.981923379999998,Broadway & W 55 St,793
212,40.743349350000003,-74.006817530000006,W 16 St & The High Line,1317
216,40.700378669999999,-73.99548059,Columbia Heights & Cranberry St,123
217,40.702771589999998,-73.993836049999999,Old Fulton St,170
218,40.690284370000001,-73.987071049999997,Gallatin Pl & Livingston St,96
223,40.737815089999998,-73.999946609999995,W 13 St & 7 Ave,1047
2002,40.716887,-73.963197999999991,Wythe Ave & Metropolitan Ave,293
225,40.741951380000003,-74.008030129999995,W 14 St & The High Line,396
228,40.754601102599999,-73.971878855,E 48 St & 3 Ave,955
229,40.72743423,-73.993790250000004,Great Jones St,1498
2001,40.698920540000003,-73.973329960000001,7 Ave & Farragut St,103
232,40.695976829999999,-73.990148919999996,Cadman Plaza E & Tillary St,150
233,40.692462769999999,-73.989639109999999,Joralemon St & Adams St,706
236,40.728418599999998,-73.987139560000003,St Marks Pl & 2 Ave,1459
237,40.730473089999997,-73.986723780000005,E 11 St & 2 Ave,1484
238,40.736196700000001,-74.008592070000006,Bank St & Washington St,720
