,id,lat,long,name,freq
0,72,40.767272159999997,-73.993928879999999,W 52 St & 11 Ave,3071
1,79,40.719115520000003,-74.006666609999996,Franklin St & W Broadway,2312
2,82,40.711174159999999,-74.000165449999997,St James Pl & Pearl St,1192
3,83,40.68382604,-73.976323280000003,Atlantic Ave & Fort Greene Pl,1236
4,116,40.741776029999997,-74.001497459999996,W 17 St & 8 Ave,5047
5,119,40.696089409999999,-73.978034149999999,Park Ave & St Edwards St,204
6,120,40.686767930000002,-73.959281680000004,Lexington Ave & Classon Ave,500
7,127,40.731724280000002,-74.006744359999999,Barrow St & Hudson St,4986
8,128,40.72710258,-74.002970880000007,MacDougal St & Prince St,5154
9,137,40.761628000000002,-73.972924000000006,E 56 St & Madison Ave,2027
10,143,40.692395019999999,-73.993379090000005,Clinton St & Joralemon St,1022
11,144,40.698398949999998,-73.980689139999996,Nassau St & Navy St,578
12,146,40.716250080000002,-74.009105899999994,Hudson St & Reade St,2168
13,147,40.715421970000001,-74.011219780000005,Greenwich St & Warren St,5065
14,150,40.720873600000004,-73.980857950000001,E 2 St & Avenue C,1972
15,151,40.721815800000002,-73.997203069999998,Cleveland Pl & Spring St,7615
16,152,40.71473993,-74.009106270000004,Warren St & Church St,1861
17,153,40.752062306999996,-73.981632404300001,E 40 St & 5 Ave,4225
18,157,40.690892720000001,-73.996123490000002,Henry St & Atlantic Ave,1029
19,160,40.748238000000001,-73.978311000000005,E 37 St & Lexington Ave,2356
20,161,40.729170250000003,-73.998102309999993,LaGuardia Pl & W 3 St,4006
21,164,40.753230979999998,-73.970325169999995,E 47 St & 2 Ave,2179
22,167,40.748900599999999,-73.976048820000003,E 39 St & 3 Ave,3582
23,168,40.739713010000003,-73.994564049999994,W 18 St & 6 Ave,6107
24,173,40.760646790000003,-73.984426589999998,Broadway & W 49 St,4011
25,174,40.738176500000002,-73.977386620000004,E 25 St & 1 Ave,2235
26,195,40.709056230000002,-74.010433820000003,Liberty St & Broadway,3542
27,212,40.743349350000003,-74.006817530000006,W 16 St & The High Line,3829
28,216,40.700378669999999,-73.99548059,Columbia Heights & Cranberry St,790
29,217,40.702771589999998,-73.993836049999999,Old Fulton St,2006
30,218,40.690284370000001,-73.987071049999997,Gallatin Pl & Livingston St,490
31,223,40.737815089999998,-73.999946609999995,W 13 St & 7 Ave,3642
32,224,40.711463639999998,-74.005524269999995,Spruce St & Nassau St,2213
33,225,40.741951380000003,-74.008030129999995,W 14 St & The High Line,3009
34,228,40.754601102599999,-73.971878855,E 48 St & 3 Ave,2463
35,229,40.72743423,-73.993790250000004,Great Jones St,4834
36,232,40.695976829999999,-73.990148919999996,Cadman Plaza E & Tillary St,1689
37,233,40.692462769999999,-73.989639109999999,Joralemon St & Adams St,1740
38,236,40.728418599999998,-73.987139560000003,St Marks Pl & 2 Ave,4563
39,237,40.730473089999997,-73.986723780000005,E 11 St & 2 Ave,4504
40,238,40.736196700000001,-74.008592070000006,Bank St & Washington St,2728
41,239,40.691965660000001,-73.981301799999997,Willoughby St & Fleet St,813
42,241,40.689810350000002,-73.974931209999994,DeKalb Ave & S Portland Ave,894
43,242,40.697883490000002,-73.973503320000006,Flushing Ave & Carlton Ave,734
44,243,40.688226,-73.979382000000001,Fulton St & Rockwell Pl,756
45,244,40.691960350000002,-73.965368510000005,Willoughby Ave & Hall St,882
46,245,40.693270179999999,-73.977038739999998,Myrtle Ave & St Edwards St,414
47,247,40.735353979999999,-74.004830909999995,Perry St & Bleecker St,3023
48,248,40.721853789999997,-74.007717790000001,Laight St & Hudson St,832
49,249,40.718709869999998,-74.009000900000004,Harrison St & Hudson St,1498
50,250,40.724560889999999,-73.995652930000006,Lafayette St & Jersey St,6445
51,251,40.72317958,-73.994800119999994,Mott St & Prince St,4882
52,252,40.732263979999999,-73.998522050000005,MacDougal St & Washington Sq,2883
53,257,40.719392259999999,-74.002472139999995,Lispenard St & Broadway,2595
54,258,40.689407469999999,-73.968854579999999,DeKalb Ave & Vanderbilt Ave,1048
55,259,40.701221279999999,-74.012342180000005,South St & Whitehall St,2514
56,260,40.703651819999997,-74.011677969999994,Broad St & Bridge St,1230
57,261,40.69474881,-73.983624640000002,Johnson St & Gold St,1049
58,262,40.691782320000002,-73.973729890000001,Washington Park,758
59,263,40.717290000000006,-73.996375,Elizabeth St & Hester St,3525
60,264,40.707064559999999,-74.007318530000006,Maiden Ln & Pearl St,2284
61,265,40.722293460000003,-73.991475350000002,Stanton St & Chrystie St,3204
62,266,40.723683610000002,-73.975748129999999,Avenue D & E 8 St,1014
63,267,40.750977110000001,-73.987654280000001,Broadway & W 36 St,2872
64,268,40.719105370000001,-73.999733370000001,Howard St & Centre St,3320
65,270,40.693082570000001,-73.971789130000005,Adelphi St & Myrtle Ave,1048
66,271,40.685281719999999,-73.978058129999994,Ashland Pl & Hanson Pl,1950
67,274,40.686918650000003,-73.976681999999997,Lafayette Ave & Fort Greene Pl,925
68,275,40.686500649999999,-73.965633069999996,Washington Ave & Greene Ave,473
69,276,40.717487519999999,-74.010455399999998,Duane St & Greenwich St,1873
70,278,40.697665639999997,-73.984764369999994,Concord St & Bridge St,651
71,279,40.707872999999999,-74.00166999999999,Peck Slip & Front Street,1850
72,280,40.73331967,-73.995101320000003,E 10 St & 5 Ave,3414
73,281,40.764397100000004,-73.973714650000005,Grand Army Plaza & Central Park S,6112
74,282,40.708272950000001,-73.968341010000003,Kent Ave & S 11 St,871
75,284,40.739016912099999,-74.002637610299999,Greenwich Ave & 8 Ave,6497
